"Edmonton [Census metropolitan area], Alberta",Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
Language used most often at work,            Dane-zaa (Beaver),,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Dene, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,            Gwich'in,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Slavey-Hare languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Deh Gah Ghotie Zhatie (South Slavey),,0,,0,,0,,0,,0,,0,
Language used most often at work,              Satuotine Yati (North Slavey),,0,,0,,0,,0,,0,,0,
Language used most often at work,"              Slavey, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tahltan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tlicho (Dogrib),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tse'khene (Sekani),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tsilhqot'in (Chilcotin),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tsuu T'ina (Sarsi),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tutchone languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Northern Tutchone,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Southern Tutchone,,0,,0,,0,,0,,0,,0,
Language used most often at work,"              Tutchone, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,            Wetsuwet'en-Babine,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Tlingit,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Athabaskan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Haida,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Inuktut (Inuit) languages,,10,,0,,0,,0,,0,,0,
Language used most often at work,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Inuinnaqtun,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Inuvialuktun,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Inuktitut,,10,,0,,0,,0,,0,,0,
Language used most often at work,"          Inuktut (Inuit) languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Iroquoian languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Mohawk,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Oneida,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Iroquoian languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Ktunaxa (Kutenai),,0,,0,,0,,0,,0,,0,
Language used most often at work,        Michif,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Salish languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Halkomelem,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Lillooet,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ntlakapamux (Thompson),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Secwepemctsin (Shuswap),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Squamish,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Straits,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Syilx (Okanagan),,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Salish languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Siouan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Assiniboine,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Dakota,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Stoney,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Siouan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Tsimshian languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Gitxsan (Gitksan),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Nisga'a,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Tsimshian,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Wakashan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Haisla,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Heiltsuk,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Kwak'wala (Kwakiutl),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Nuu-chah-nulth (Nootka),,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Wakashan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,"        Indigenous languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,"        Indigenous languages, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,      Non-Indigenous languages,,7660,,3945,,3720,,0.9,,0.9,,1,
Language used most often at work,        Afro-Asiatic languages,,445,,235,,210,,0.1,,0.1,,0.1,
Language used most often at work,          Berber languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Kabyle,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tamazight,,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Berber languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Chadic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Coptic,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Cushitic languages,,110,,50,,65,,0,,0,,0,
Language used most often at work,            Bilen,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Oromo,,15,,0,,10,,0,,0,,0,
Language used most often at work,            Somali,,100,,45,,50,,0,,0,,0,
Language used most often at work,"            Cushitic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Semitic languages,,335,,185,,150,,0,,0,,0,
Language used most often at work,            Amharic,,50,,25,,25,,0,,0,,0,
Language used most often at work,            Arabic,,225,,125,,100,,0,,0,,0,
Language used most often at work,            Aramaic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Assyrian Neo-Aramaic,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Chaldean Neo-Aramaic,,0,,0,,0,,0,,0,,0,
Language used most often at work,"              Aramaic, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,            Hebrew,,10,,10,,0,,0,,0,,0,
Language used most often at work,            Tigrigna,,50,,25,,25,,0,,0,,0,
Language used most often at work,"            Semitic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Austro-Asiatic languages,,430,,160,,275,,0.1,,0,,0.1,
Language used most often at work,          Khmer (Cambodian),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Vietnamese,,415,,150,,265,,0.1,,0,,0.1,
Language used most often at work,"          Austro-Asiatic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Austronesian languages,,355,,150,,210,,0,,0,,0.1,
Language used most often at work,          Bikol,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Bisaya, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Cebuano,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Hiligaynon,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ilocano,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Indonesian,,10,,0,,10,,0,,0,,0,
Language used most often at work,          Kankanaey,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Malagasy languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Malay,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Pampangan (Kapampangan, Pampango)",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Pangasinan,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Tagalog (Pilipino, Filipino)",,340,,140,,195,,0,,0,,0.1,
Language used most often at work,"          Austronesian languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Creole languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Haitian Creole,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Jamaican English Creole,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Morisyen,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Creole, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Creole languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Dravidian languages,,50,,25,,25,,0,,0,,0,
Language used most often at work,          Kannada,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Malayalam,,20,,10,,15,,0,,0,,0,
Language used most often at work,          Tamil,,15,,10,,10,,0,,0,,0,
Language used most often at work,          Telugu,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Dravidian languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Georgian,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Indo-European languages,,3340,,1925,,1415,,0.4,,0.5,,0.4,
Language used most often at work,          Albanian,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Armenian,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Balto-Slavic languages,,275,,95,,185,,0,,0,,0,
Language used most often at work,            Baltic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Latvian,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Lithuanian,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Slavic languages,,275,,95,,185,,0,,0,,0,
Language used most often at work,              Bulgarian,,10,,0,,0,,0,,0,,0,
Language used most often at work,              Czech,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Macedonian,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Polish,,80,,35,,45,,0,,0,,0,
Language used most often at work,              Russian,,100,,15,,90,,0,,0,,0,
Language used most often at work,              Serbo-Croatian,,25,,15,,10,,0,,0,,0,
Language used most often at work,                Bosnian,,0,,0,,0,,0,,0,,0,
Language used most often at work,                Croatian,,0,,0,,0,,0,,0,,0,
Language used most often at work,                Serbian,,20,,15,,0,,0,,0,,0,
Language used most often at work,"                Serbo-Croatian, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,              Slovak,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Slovene (Slovenian),,0,,0,,0,,0,,0,,0,
Language used most often at work,              Ukrainian,,65,,30,,40,,0,,0,,0,
Language used most often at work,"              Slavic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Celtic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Scottish Gaelic,,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Celtic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Germanic languages,,85,,35,,55,,0,,0,,0,
Language used most often at work,            Frisian,,0,,0,,0,,0,,0,,0,
Language used most often at work,            High German languages,,75,,25,,45,,0,,0,,0,
Language used most often at work,              German,,75,,25,,45,,0,,0,,0,
Language used most often at work,              Pennsylvania German,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Swiss German,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Yiddish,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Low Saxon-Low Franconian languages,,10,,0,,10,,0,,0,,0,
Language used most often at work,              Afrikaans,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Dutch,,10,,0,,10,,0,,0,,0,
Language used most often at work,"              Low German, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,              Low Saxon,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Plautdietsch,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Vlaams (Flemish),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Scandinavian languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Danish,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Icelandic,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Norwegian,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Swedish,,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Germanic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Greek,,10,,0,,0,,0,,0,,0,
Language used most often at work,          Indo-Iranian languages,,2205,,1370,,840,,0.3,,0.3,,0.2,
Language used most often at work,            Indo-Aryan languages,,2120,,1325,,795,,0.3,,0.3,,0.2,
Language used most often at work,              Bengali,,10,,0,,10,,0,,0,,0,
Language used most often at work,              Gujarati,,45,,25,,25,,0,,0,,0,
Language used most often at work,              Hindi,,145,,70,,75,,0,,0,,0,
Language used most often at work,              Kacchi,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Marathi,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Nepali,,20,,0,,15,,0,,0,,0,
Language used most often at work,              Punjabi (Panjabi),,1845,,1200,,645,,0.2,,0.3,,0.2,
Language used most often at work,              Sindhi,,15,,0,,10,,0,,0,,0,
Language used most often at work,              Sinhala (Sinhalese),,0,,0,,0,,0,,0,,0,
Language used most often at work,              Urdu,,45,,25,,15,,0,,0,,0,
Language used most often at work,"              Indo-Aryan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,            Iranian languages,,85,,40,,40,,0,,0,,0,
Language used most often at work,              Kurdish,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Pashto,,0,,0,,0,,0,,0,,0,
Language used most often at work,              Persian languages,,80,,40,,40,,0,,0,,0,
Language used most often at work,                Dari,,35,,10,,25,,0,,0,,0,
Language used most often at work,                Iranian Persian,,25,,15,,10,,0,,0,,0,
Language used most often at work,"                Persian (Farsi), n.o.s.",,20,,10,,0,,0,,0,,0,
Language used most often at work,"              Iranian languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Indo-Iranian languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Italic (Romance) languages,,760,,425,,340,,0.1,,0.1,,0.1,
Language used most often at work,            Catalan,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Italian,,10,,0,,10,,0,,0,,0,
Language used most often at work,            Portuguese,,35,,15,,15,,0,,0,,0,
Language used most often at work,            Romanian,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Spanish,,705,,400,,305,,0.1,,0.1,,0.1,
Language used most often at work,"            Italic (Romance) languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Indo-European languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Japanese,,40,,0,,40,,0,,0,,0,
Language used most often at work,        Korean,,385,,165,,225,,0,,0,,0.1,
Language used most often at work,        Mongolian,,0,,0,,0,,0,,0,,0,
Language used most often at work,        Niger-Congo languages,,20,,15,,0,,0,,0,,0,
Language used most often at work,          Akan (Twi),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Edo,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Fulah (Pular, Pulaar, Fulfulde)",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ga,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Ganda,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Igbo,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Kinyarwanda (Rwanda),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Lingala,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Rundi (Kirundi),,0,,0,,0,,0,,0,,0,
Language used most often at work,          Shona,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Swahili,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Wolof,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Yoruba,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Niger-Congo languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Nilo-Saharan languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Dinka,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Nilo-Saharan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Sign languages,,120,,50,,70,,0,,0,,0,
Language used most often at work,          American Sign Language,,105,,50,,60,,0,,0,,0,
Language used most often at work,          Quebec Sign Language,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Sign languages, n.i.e.",,15,,0,,15,,0,,0,,0,
Language used most often at work,        Sino-Tibetan languages,,2350,,1135,,1215,,0.3,,0.3,,0.3,
Language used most often at work,          Chinese languages,,2335,,1120,,1215,,0.3,,0.3,,0.3,
Language used most often at work,            Hakka,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Mandarin,,1050,,520,,525,,0.1,,0.1,,0.1,
Language used most often at work,            Min Dong,,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,0,,0,,0,,0,,0,,0,
Language used most often at work,            Wu (Shanghainese),,0,,0,,0,,0,,0,,0,
Language used most often at work,            Yue (Cantonese),,1270,,600,,675,,0.2,,0.1,,0.2,
Language used most often at work,"            Chinese, n.o.s.",,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Chinese languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,          Tibeto-Burman languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Burmese,,0,,0,,0,,0,,0,,0,
Language used most often at work,            Karenic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,              S'gaw Karen,,0,,0,,0,,0,,0,,0,
Language used most often at work,"              Karenic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,            Tibetan,,0,,0,,0,,0,,0,,0,
Language used most often at work,"            Tibeto-Burman languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Sino-Tibetan languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Tai-Kadai languages,,25,,0,,20,,0,,0,,0,
Language used most often at work,          Lao,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Thai,,20,,0,,15,,0,,0,,0,
Language used most often at work,"          Tai-Kadai languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Turkic languages,,90,,80,,0,,0,,0,,0,
Language used most often at work,          Azerbaijani,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Turkish,,90,,80,,0,,0,,0,,0,
Language used most often at work,          Uyghur,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Uzbek,,0,,0,,0,,0,,0,,0,
Language used most often at work,"          Turkic languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,        Uralic languages,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Estonian,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Finnish,,0,,0,,0,,0,,0,,0,
Language used most often at work,          Hungarian,,0,,0,,0,,0,,0,,0,
Language used most often at work,"        Other languages, n.i.e.",,0,,0,,0,,0,,0,,0,
Language used most often at work,  Multiple responses,,4865,,2460,,2400,,0.6,,0.6,,0.6,
Language used most often at work,    English and French,,980,,430,,555,,0.1,,0.1,,0.1,
Language used most often at work,    English and non-official language(s),,3770,,1990,,1780,,0.5,,0.5,,0.5,
Language used most often at work,    French and non-official language(s),,10,,0,,0,,0,,0,,0,
Language used most often at work,"    English, French and non-official language(s)",,45,,25,,20,,0,,0,,0,
Language used most often at work,    Multiple non-official languages,,50,,15,,35,,0,,0,,0,
Other language(s) used regularly at work,"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",197,809705,,424330,,385375,,100,,100,,100,
Other language(s) used regularly at work,  None,,785010,,412435,,372575,,97,,97.2,,96.7,
Other language(s) used regularly at work,  English,,4185,,1870,,2320,,0.5,,0.4,,0.6,
Other language(s) used regularly at work,  French,,5410,,2340,,3075,,0.7,,0.6,,0.8,
Other language(s) used regularly at work,  Non-official language,,12550,,6435,,6120,,1.5,,1.5,,1.6,
Other language(s) used regularly at work,    Indigenous,39,290,,135,,155,,0,,0,,0,
Other language(s) used regularly at work,    Non-Indigenous,,12265,,6300,,5960,,1.5,,1.5,,1.5,
Other language(s) used regularly at work,  English and French,,10,,10,,0,,0,,0,,0,
Other language(s) used regularly at work,  English and non-official language(s),,375,,195,,180,,0,,0,,0,
Other language(s) used regularly at work,  French and non-official language(s),,430,,205,,225,,0.1,,0,,0.1,
Other language(s) used regularly at work,"  English, French and non-official language(s)",,0,,0,,0,,0,,0,,0,
Other language(s) used regularly at work,  Multiple non-official languages,,1730,,845,,885,,0.2,,0.2,,0.2,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,198,680310,,359360,,320960,,100,,100,,100,
Place of work status,  Worked at home,,141025,,63360,,77665,,20.7,,17.6,,24.2,
Place of work status,  Worked outside Canada,,1640,,1210,,435,,0.2,,0.3,,0.1,
Place of work status,  No fixed workplace address,,105955,,80550,,25400,,15.6,,22.4,,7.9,
Place of work status,  Usual place of work,,431690,,214235,,217455,,63.5,,59.6,,67.8,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over with a usual place of work - 25% sample data,199,431690,,214235,,217455,,100,,100,,100,
Commuting destination,  Commute within census subdivision (CSD) of residence,,302220,,138110,,164110,,70,,64.5,,75.5,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,,115065,,65780,,49285,,26.7,,30.7,,22.7,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,,11605,,8405,,3200,,2.7,,3.9,,1.5,
Commuting destination,  Commute to a different province or territory,,2800,,1935,,860,,0.6,,0.9,,0.4,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,200,537645,,294790,,242855,,100,,100,,100,
Main mode of commuting,"  Car, truck or van",,469900,,264270,,205630,,87.4,,89.6,,84.7,
Main mode of commuting,"    Car, truck or van - as a driver",,437695,,252520,,185175,,81.4,,85.7,,76.2,
Main mode of commuting,"    Car, truck or van - as a passenger",,32210,,11760,,20450,,6,,4,,8.4,
Main mode of commuting,  Public transit,,33000,,12965,,20040,,6.1,,4.4,,8.3,
Main mode of commuting,  Walked,,17680,,7510,,10165,,3.3,,2.5,,4.2,
Main mode of commuting,  Bicycle,,3905,,2695,,1210,,0.7,,0.9,,0.5,
Main mode of commuting,  Other method,,13155,,7335,,5820,,2.4,,2.5,,2.4,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,201,537645,,294790,,242855,,100,,100,,100,
Commuting duration,  Less than 15 minutes,,131245,,59445,,71800,,24.4,,20.2,,29.6,
Commuting duration,  15 to 29 minutes,,229225,,125895,,103335,,42.6,,42.7,,42.6,
Commuting duration,  30 to 44 minutes,,119935,,72950,,46985,,22.3,,24.7,,19.3,
Commuting duration,  45 to 59 minutes,,31680,,19920,,11760,,5.9,,6.8,,4.8,
Commuting duration,  60 minutes and over,,25565,,16585,,8980,,4.8,,5.6,,3.7,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,202,537645,,294790,,242855,,100,,100,,100,
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,,38915,,29455,,9465,,7.2,,10,,3.9,
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,,100215,,64740,,35475,,18.6,,22,,14.6,
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,,147045,,78760,,68285,,27.3,,26.7,,28.1,
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,,96050,,45020,,51030,,17.9,,15.3,,21,
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,,68065,,29595,,38470,,12.7,,10,,15.8,
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,,87360,,47215,,40140,,16.2,,16,,16.5,
Children eligible for instruction in the minority official language,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,203,316970,,162620,,154350,,100,,100,,100,
Children eligible for instruction in the minority official language,  Children eligible for instruction in the minority official language,,25140,,12685,,12455,,7.9,,7.8,,8.1,
Children eligible for instruction in the minority official language,  Children not eligible for instruction in the minority official language,,291825,,149930,,141890,,92.1,,92.2,,91.9,
Eligibility and instruction in the minority official language for school-aged children,"Total - Eligibility and instruction in the minority official language, for the population in private households born between 2003 and 2015 (inclusive) - 100% data",204,227205,,116650,,110560,,100,,100,,100,
Eligibility and instruction in the minority official language for school-aged children,  Children eligible for instruction in the minority official language,,18395,,9270,,9120,,8.1,,7.9,,8.2,
Eligibility and instruction in the minority official language for school-aged children,    Eligible children†who have been instructed in the minority official language at the primary or secondary level in Canada,,9245,,4525,,4725,,4.1,,3.9,,4.3,
Eligibility and instruction in the minority official language for school-aged children,    Eligible children†who have not been instructed in the minority official language at the primary or secondary level in Canada,,9145,,4755,,4400,,4,,4.1,,4,
Eligibility and instruction in the minority official language for school-aged children,  Children not eligible for instruction in the minority official language,,208810,,107375,,101435,,91.9,,92,,91.7,
,,,,,,,,,,,,,,
Symbols:,,,,,,,,,,,,,,
...,not applicable,,,,,,,,,,,,,
r,"	revised",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1,2021 and 2016 population,,,,,,,,,,,,,
,Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment  some population counts of geographic areas are adjusted in order to ensure confidentiality.,,,,,,,,,,,,,
,The adjustment to counts of the total population for any dissemination block is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Total private dwellings,,,,,,,,,,,,,
,Private dwelling refers to a separate set of living quarters with a private entrance either from outside the building or from a common hall  lobby  vestibule or stairway inside the building. The entrance to the dwelling must be one that can be used without passing through the living quarters of some other person or group of persons.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Private dwellings occupied by usual residents,,,,,,,,,,,,,
,A private dwelling occupied by usual residents refers to a private dwelling in which a person or a group of persons is permanently residing. Also included are private dwellings whose usual residents are temporarily absent on May 11  2021.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,The category 'Movable dwelling' includes mobile homes and other movable dwellings such as houseboats  recreational vehicles†and railroad cars.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,A census family is defined as a married couple (with or without children)  a common-law couple (with or without children) or a one-parent family. For more information  refer to the†Census Dictionary: Census family structure.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,There is no age restriction on children. Includes children living with a grandparent or grandparents without a parent present.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,Includes foster children.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,Multigenerational households represent all households where there is at least one person who is both the grandparent of a person in the household and the parent of another person in the same household. They also represent all households where there is at least one person who is both the child of a person in the household and the grandchild of another person in the same household. In previous censuses  multigenerational households were only created based on the former definition  not the latter. As a result  there may be small differences in counts for 2011 and 2016 in archived tables.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,Excludes multigenerational households.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *statistical units of social statistical programs such as persons  private households  census families and economic families;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *statistical units of farm statistical programs such as farm operator and farm family.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
